Place,HelmName,Fleet,Status
1,Antony Baker,,Pro Fleet
2,Ian Richards,,Gold Fleet
3,Torsten Mallon,,Gold Fleet
4,Markus Wilms,,Gold Fleet
5,Mark Collins,,Gold Fleet
5,Patrick Van Hoof,,Gold Fleet
7,Tris Best,,Pro Fleet
8,Steve Flanagan,,Gold Fleet
9,Allan Cross,,Gold Fleet
10,Dave Strudwick,,Gold Fleet
11,Michael George,,Gold Fleet
12,Adrian Wallis,,Gold Fleet
13,Andrew Chandler,,Gold Fleet
14,Jim Brooks-Dowsett,,Gold Fleet
15,Steve Jones,,Gold Fleet
16,Nic Dodd,,Gold Fleet
17,Gordon Roach,,Amateur
18,Stephen Chatten,,Amateur
19,Matthew York,,Amateur
20,Eddie Murrell,,Gold Fleet
21,Jamie Bambridge,,Amateur
22,Alex Burges,,Amateur
23,Thorsten Niehaus,,Pro Fleet
24,Gavin Nicholson,,Amateur
25,Neil Greentree,,Amateur
26,Martin Allman,,Amateur
27,Trevor Funnell,,Amateur
28,Michael Roberts,,Amateur
29,Manfred Fuchs,,Gold Fleet
30,Alastair Nichol,,Gold Fleet
